Date,Time,Bus_No,Round,latitude,longtitude
2016-04-01,07:53:46,10,1,13.746093,100.53151
2016-04-01,07:53:47,10,1,13.746093,100.53151
2016-04-01,07:53:48,10,1,13.746093,100.53151
2016-04-01,07:53:49,10,1,13.746093,100.53151
2016-04-01,07:53:50,10,1,13.746093,100.53151
2016-04-01,07:53:51,10,1,13.746093,100.53151
2016-04-01,07:53:52,10,1,13.746093,100.53151
2016-04-01,07:53:53,10,1,13.746093,100.53151
2016-04-01,07:53:54,10,1,13.746093,100.53151
2016-04-01,07:53:55,10,1,13.746093,100.53151
2016-04-01,07:53:56,10,1,13.746093,100.53151
2016-04-01,07:53:57,10,1,13.746093,100.53151
2016-04-01,07:53:58,10,1,13.746093,100.53151
2016-04-01,07:53:59,10,1,13.746093,100.53151
2016-04-01,07:54:00,10,1,13.746093,100.53151
2016-04-01,07:54:01,10,1,13.746093,100.53151
2016-04-01,07:54:02,10,1,13.746093,100.53151
2016-04-01,07:54:03,10,1,13.746093,100.53151
2016-04-01,07:54:04,10,1,13.746093,100.53151
2016-04-01,07:54:05,10,1,13.746093,100.53151
2016-04-01,07:54:06,10,1,13.746093,100.53151
2016-04-01,07:54:07,10,1,13.746093,100.53151
2016-04-01,07:54:08,10,1,13.746093,100.53151
2016-04-01,07:54:09,10,1,13.746093,100.53151
2016-04-01,07:54:10,10,1,13.746093,100.53151
2016-04-01,07:54:11,10,1,13.746093,100.53151
2016-04-01,07:54:12,10,1,13.746093,100.53151
2016-04-01,07:54:13,10,1,13.746093,100.53151
2016-04-01,07:54:14,10,1,13.746093,100.53151
2016-04-01,07:54:15,10,1,13.746103,100.531465
2016-04-01,07:54:16,10,1,13.746103,100.531458
2016-04-01,07:54:17,10,1,13.746113,100.531442
2016-04-01,07:54:18,10,1,13.746112,100.531415
2016-04-01,07:54:19,10,1,13.746137,100.53139
2016-04-01,07:54:20,10,1,13.746155,100.531358
2016-04-01,07:54:21,10,1,13.746162,100.531318
2016-04-01,07:54:22,10,1,13.746157,100.531292
2016-04-01,07:54:23,10,1,13.746128,100.531247
2016-04-01,07:54:24,10,1,13.746043,100.531168
2016-04-01,07:54:25,10,1,13.746,100.531115
2016-04-01,07:54:26,10,1,13.74595,100.531068
2016-04-01,07:54:27,10,1,13.745873,100.53102
2016-04-01,07:54:28,10,1,13.745808,100.530957
2016-04-01,07:54:29,10,1,13.745775,100.53088
2016-04-01,07:54:30,10,1,13.745742,100.53081
2016-04-01,07:54:31,10,1,13.745698,100.530748
2016-04-01,07:54:32,10,1,13.745665,100.530688
2016-04-01,07:54:33,10,1,13.745645,100.530585
2016-04-01,07:54:34,10,1,13.745608,100.530538
2016-04-01,07:54:35,10,1,13.74554,100.53053
2016-04-01,07:54:36,10,1,13.745485,100.530517
2016-04-01,07:54:37,10,1,13.745433,100.530513
2016-04-01,07:54:38,10,1,13.745367,100.53049
2016-04-01,07:54:39,10,1,13.74531,100.530463
2016-04-01,07:54:40,10,1,13.74525,100.530452
2016-04-01,07:54:41,10,1,13.745172,100.530438
2016-04-01,07:54:42,10,1,13.7451,100.530423
2016-04-01,07:54:43,10,1,13.74501,100.53044
2016-04-01,07:54:44,10,1,13.744932,100.530427
2016-04-01,07:54:45,10,1,13.744857,100.530415
2016-04-01,07:54:46,10,1,13.744792,100.530403
2016-04-01,07:54:47,10,1,13.744732,100.530395
2016-04-01,07:54:48,10,1,13.744648,100.530373
2016-04-01,07:54:49,10,1,13.744572,100.530395
2016-04-01,07:54:50,10,1,13.744515,100.530398
2016-04-01,07:54:51,10,1,13.744437,100.530378
2016-04-01,07:54:52,10,1,13.744315,100.53044
2016-04-01,07:54:53,10,1,13.744223,100.530362
2016-04-01,07:54:54,10,1,13.744153,100.53029
2016-04-01,07:54:55,10,1,13.744073,100.530233
2016-04-01,07:54:56,10,1,13.743997,100.530182
2016-04-01,07:54:57,10,1,13.743915,100.530225
2016-04-01,07:54:58,10,1,13.74384,100.530248
2016-04-01,07:54:59,10,1,13.743778,100.530247
2016-04-01,07:55:00,10,1,13.743702,100.530258
2016-04-01,07:55:01,10,1,13.743635,100.53028
2016-04-01,07:55:02,10,1,13.74359,100.530288
2016-04-01,07:55:03,10,1,13.743555,100.530325
2016-04-01,07:55:04,10,1,13.74354,100.530348
2016-04-01,07:55:05,10,1,13.743538,100.530363
2016-04-01,07:55:06,10,1,13.743538,100.530378
2016-04-01,07:55:07,10,1,13.743538,100.530378
2016-04-01,07:55:08,10,1,13.743538,100.530378
2016-04-01,07:55:09,10,1,13.743538,100.530378
2016-04-01,07:55:10,10,1,13.743538,100.530378
2016-04-01,07:55:11,10,1,13.743538,100.530378
2016-04-01,07:55:12,10,1,13.743538,100.530378
2016-04-01,07:55:13,10,1,13.743538,100.530378
2016-04-01,07:55:14,10,1,13.743538,100.530378
2016-04-01,07:55:15,10,1,13.743538,100.530378
2016-04-01,07:55:16,10,1,13.743538,100.530378
2016-04-01,07:55:17,10,1,13.743538,100.530378
2016-04-01,07:55:18,10,1,13.743538,100.530378
2016-04-01,07:55:19,10,1,13.743538,100.530378
2016-04-01,07:55:20,10,1,13.743538,100.530378
2016-04-01,07:55:21,10,1,13.743538,100.530378
2016-04-01,07:55:22,10,1,13.743538,100.530378
2016-04-01,07:55:23,10,1,13.743538,100.530378
2016-04-01,07:55:24,10,1,13.743538,100.530378
2016-04-01,07:55:25,10,1,13.743538,100.5305
2016-04-01,07:55:26,10,1,13.743535,100.530492
2016-04-01,07:55:27,10,1,13.74352,100.530482
2016-04-01,07:55:28,10,1,13.7435,100.530477
2016-04-01,07:55:29,10,1,13.743472,100.530463
2016-04-01,07:55:30,10,1,13.743447,100.530443
2016-04-01,07:55:31,10,1,13.743417,100.530417
2016-04-01,07:55:32,10,1,13.74338,100.530395
2016-04-01,07:55:33,10,1,13.743343,100.530373
2016-04-01,07:55:34,10,1,13.743307,100.530352
2016-04-01,07:55:35,10,1,13.743257,100.53033
2016-04-01,07:55:36,10,1,13.74321,100.530303
2016-04-01,07:55:37,10,1,13.743153,100.530288
2016-04-01,07:55:38,10,1,13.743097,100.530288
2016-04-01,07:55:39,10,1,13.743025,100.530292
2016-04-01,07:55:40,10,1,13.742962,100.530287
2016-04-01,07:55:41,10,1,13.74288,100.53028
2016-04-01,07:55:42,10,1,13.742798,100.530293
2016-04-01,07:55:43,10,1,13.742727,100.530297
2016-04-01,07:55:44,10,1,13.742648,100.530287
2016-04-01,07:55:45,10,1,13.742567,100.530275
2016-04-01,07:55:46,10,1,13.742492,100.530265
2016-04-01,07:55:47,10,1,13.742405,100.530255
2016-04-01,07:55:48,10,1,13.742325,100.530245
2016-04-01,07:55:49,10,1,13.742245,100.530233
2016-04-01,07:55:50,10,1,13.742163,100.530227
2016-04-01,07:55:51,10,1,13.74208,100.530222
2016-04-01,07:55:52,10,1,13.742,100.530208
2016-04-01,07:55:53,10,1,13.741925,100.5302
2016-04-01,07:55:54,10,1,13.741832,100.530188
2016-04-01,07:55:55,10,1,13.741745,100.530178
2016-04-01,07:55:56,10,1,13.741658,100.530167
2016-04-01,07:55:57,10,1,13.741572,100.530152
2016-04-01,07:55:58,10,1,13.741495,100.53014
2016-04-01,07:55:59,10,1,13.741403,100.530127
2016-04-01,07:56:00,10,1,13.741325,100.5301
2016-04-01,07:56:01,10,1,13.741252,100.530087
2016-04-01,07:56:02,10,1,13.741163,100.530075
2016-04-01,07:56:03,10,1,13.741085,100.530063
2016-04-01,07:56:04,10,1,13.741007,100.530057
2016-04-01,07:56:05,10,1,13.74093,100.530055
2016-04-01,07:56:06,10,1,13.740855,100.530053
2016-04-01,07:56:07,10,1,13.740783,100.530053
2016-04-01,07:56:08,10,1,13.740717,100.530048
2016-04-01,07:56:09,10,1,13.74066,100.53004
2016-04-01,07:56:10,10,1,13.740618,100.530033
2016-04-01,07:56:11,10,1,13.740583,100.530022
2016-04-01,07:56:12,10,1,13.740568,100.530007
2016-04-01,07:56:13,10,1,13.740565,100.530002
2016-04-01,07:56:14,10,1,13.74057,100.530005
2016-04-01,07:56:15,10,1,13.74057,100.530005
2016-04-01,07:56:16,10,1,13.74057,100.530005
2016-04-01,07:56:17,10,1,13.74057,100.530005
2016-04-01,07:56:18,10,1,13.74057,100.530005
2016-04-01,07:56:19,10,1,13.74057,100.530005
2016-04-01,07:56:20,10,1,13.74057,100.530005
2016-04-01,07:56:21,10,1,13.74057,100.530005
2016-04-01,07:56:22,10,1,13.74057,100.530005
2016-04-01,07:56:23,10,1,13.74057,100.530005
2016-04-01,07:56:24,10,1,13.74057,100.530005
2016-04-01,07:56:25,10,1,13.74057,100.530005
2016-04-01,07:56:26,10,1,13.74057,100.530005
2016-04-01,07:56:27,10,1,13.74057,100.530005
2016-04-01,07:56:28,10,1,13.74057,100.530005
2016-04-01,07:56:29,10,1,13.74057,100.530005
2016-04-01,07:56:30,10,1,13.74057,100.530005
2016-04-01,07:56:31,10,1,13.74057,100.530005
2016-04-01,07:56:32,10,1,13.740557,100.530017
2016-04-01,07:56:33,10,1,13.740553,100.530013
2016-04-01,07:56:34,10,1,13.740537,100.530005
2016-04-01,07:56:35,10,1,13.740515,100.529992
2016-04-01,07:56:36,10,1,13.740488,100.52998
2016-04-01,07:56:37,10,1,13.740458,100.529975
2016-04-01,07:56:38,10,1,13.740413,100.529972
2016-04-01,07:56:39,10,1,13.740367,100.529973
2016-04-01,07:56:40,10,1,13.740323,100.529972
2016-04-01,07:56:41,10,1,13.740263,100.529967
2016-04-01,07:56:42,10,1,13.740203,100.529957
2016-04-01,07:56:43,10,1,13.740143,100.529942
2016-04-01,07:56:44,10,1,13.740075,100.529928
2016-04-01,07:56:45,10,1,13.74002,100.529917
2016-04-01,07:56:46,10,1,13.739967,100.529908
2016-04-01,07:56:47,10,1,13.739903,100.5299
2016-04-01,07:56:48,10,1,13.739843,100.529888
2016-04-01,07:56:49,10,1,13.739782,100.529887
2016-04-01,07:56:50,10,1,13.739728,100.529883
2016-04-01,07:56:51,10,1,13.739665,100.529875
2016-04-01,07:56:52,10,1,13.739612,100.529867
2016-04-01,07:56:53,10,1,13.739563,100.529858
2016-04-01,07:56:54,10,1,13.739505,100.529848
2016-04-01,07:56:55,10,1,13.739452,100.52984
2016-04-01,07:56:56,10,1,13.739405,100.529832
2016-04-01,07:56:57,10,1,13.73935,100.529822
2016-04-01,07:56:58,10,1,13.7393,100.529815
2016-04-01,07:56:59,10,1,13.73925,100.529807
2016-04-01,07:57:00,10,1,13.739202,100.529802
2016-04-01,07:57:01,10,1,13.739157,100.529797
2016-04-01,07:57:02,10,1,13.739122,100.52979
2016-04-01,07:57:03,10,1,13.739088,100.529785
2016-04-01,07:57:04,10,1,13.739065,100.529782
2016-04-01,07:57:05,10,1,13.739052,100.529778
2016-04-01,07:57:06,10,1,13.739048,100.529778
2016-04-01,07:57:07,10,1,13.739052,100.529782
2016-04-01,07:57:08,10,1,13.739052,100.529783
2016-04-01,07:57:09,10,1,13.739052,100.529783
2016-04-01,07:57:10,10,1,13.739052,100.529783
2016-04-01,07:57:11,10,1,13.739052,100.529783
2016-04-01,07:57:12,10,1,13.739052,100.529783
2016-04-01,07:57:13,10,1,13.739052,100.529783
2016-04-01,07:57:14,10,1,13.739052,100.529783
2016-04-01,07:57:15,10,1,13.739068,100.52979
2016-04-01,07:57:16,10,1,13.739068,100.52979
2016-04-01,07:57:17,10,1,13.739068,100.52979
2016-04-01,07:57:18,10,1,13.739062,100.529788
2016-04-01,07:57:19,10,1,13.739042,100.529783
2016-04-01,07:57:20,10,1,13.73901,100.52978
2016-04-01,07:57:21,10,1,13.738977,100.529777
2016-04-01,07:57:22,10,1,13.738943,100.529768
2016-04-01,07:57:23,10,1,13.738903,100.529763
2016-04-01,07:57:24,10,1,13.738863,100.52976
2016-04-01,07:57:25,10,1,13.738825,100.529765
2016-04-01,07:57:26,10,1,13.73879,100.529782
2016-04-01,07:57:27,10,1,13.738765,100.529812
2016-04-01,07:57:28,10,1,13.738757,100.529845
2016-04-01,07:57:29,10,1,13.738757,100.529885
2016-04-01,07:57:30,10,1,13.738775,100.529918
2016-04-01,07:57:31,10,1,13.738802,100.529942
2016-04-01,07:57:32,10,1,13.73884,100.529957
2016-04-01,07:57:33,10,1,13.738882,100.529967
2016-04-01,07:57:34,10,1,13.738925,100.52997
2016-04-01,07:57:35,10,1,13.738973,100.529977
2016-04-01,07:57:36,10,1,13.739025,100.529983
2016-04-01,07:57:37,10,1,13.739073,100.529992
2016-04-01,07:57:38,10,1,13.739137,100.529998
2016-04-01,07:57:39,10,1,13.739188,100.530005
2016-04-01,07:57:40,10,1,13.73924,100.530013
